Minutes,uM,mBU_corrected,stdev,Construct
0.0,0.0,0.47540045371093154,0.14801845283626897,VHL_WT SMARCA2_L1415S
0.0,0.00016,0.6045298881545493,0.5159667314529011,VHL_WT SMARCA2_L1415S
0.0,0.0008,0.801737462160605,0.158052229689707,VHL_WT SMARCA2_L1415S
0.0,0.004,0.4355283139052526,0.07831560326899854,VHL_WT SMARCA2_L1415S
0.0,0.02,1.4273765807770529,0.02921187503016465,VHL_WT SMARCA2_L1415S
0.0,0.1,1.561064395672112,0.1317754095017573,VHL_WT SMARCA2_L1415S
0.0,0.5,1.7809307843812654,0.03209971173259384,VHL_WT SMARCA2_L1415S
0.0,5.0,2.1685594710878346,0.05986210863540913,VHL_WT SMARCA2_L1415S
33.766666666666666,0.0,1.6609539746785247,0.07654793468383046,VHL_WT SMARCA2_L1415S
33.766666666666666,0.00016,1.3886861798392767,0.6702541844844199,VHL_WT SMARCA2_L1415S
33.766666666666666,0.0008,1.8287844746398791,0.15886678918920288,VHL_WT SMARCA2_L1415S
33.766666666666666,0.004,2.0418923335306554,0.006330575866880729,VHL_WT SMARCA2_L1415S
33.766666666666666,0.02,2.5795353603596114,0.5256092634046303,VHL_WT SMARCA2_L1415S
33.766666666666666,0.1,3.820760555482191,0.5685348534968689,VHL_WT SMARCA2_L1415S
33.766666666666666,0.5,4.108061505160136,0.18579247813656416,VHL_WT SMARCA2_L1415S
33.766666666666666,5.0,3.645792404063103,0.09168856386535039,VHL_WT SMARCA2_L1415S
70.08333333333333,0.0,1.4043111040626477,0.08314319405337266,VHL_WT SMARCA2_L1415S
70.08333333333333,0.00016,1.0877827145834211,0.04543182464393,VHL_WT SMARCA2_L1415S
70.08333333333333,0.0008,1.14714641462615,0.2249961293963613,VHL_WT SMARCA2_L1415S
70.08333333333333,0.004,1.3975790204921776,0.22590472070600867,VHL_WT SMARCA2_L1415S
70.08333333333333,0.02,2.2879339127210456,0.003939239459940883,VHL_WT SMARCA2_L1415S
70.08333333333333,0.1,2.9135332774717404,0.7500782169604482,VHL_WT SMARCA2_L1415S
70.08333333333333,0.5,3.0969454364897167,0.05413385527993027,VHL_WT SMARCA2_L1415S
70.08333333333333,5.0,3.303616453304945,0.4235192655625912,VHL_WT SMARCA2_L1415S
97.21666666666667,0.0,0.8197279552938586,0.22183187191904177,VHL_WT SMARCA2_L1415S
97.21666666666667,0.00016,1.0997693438238585,0.03236214834794716,VHL_WT SMARCA2_L1415S
97.21666666666667,0.0008,0.8761689836361146,0.44628243174087173,VHL_WT SMARCA2_L1415S
97.21666666666667,0.004,0.8685996645556298,0.2846910197599592,VHL_WT SMARCA2_L1415S
97.21666666666667,0.02,2.2456594780519676,0.021503395556364095,VHL_WT SMARCA2_L1415S
97.21666666666667,0.1,2.532111962223831,0.17798857794560574,VHL_WT SMARCA2_L1415S
97.21666666666667,0.5,2.7328295426967237,0.3357050642950129,VHL_WT SMARCA2_L1415S
97.21666666666667,5.0,2.75410264845398,0.13003847980591188,VHL_WT SMARCA2_L1415S
134.25,0.0,1.3218427761281282,0.39147667648842405,VHL_WT SMARCA2_L1415S
134.25,0.00016,1.3208875550542611,0.4552825228074464,VHL_WT SMARCA2_L1415S
134.25,0.0008,1.269071416838477,0.2943020599687633,VHL_WT SMARCA2_L1415S
134.25,0.004,1.4561879162579583,0.25614864373692525,VHL_WT SMARCA2_L1415S
134.25,0.02,2.091517462946154,0.3666030900060831,VHL_WT SMARCA2_L1415S
134.25,0.1,3.174170331365789,0.2656216912031332,VHL_WT SMARCA2_L1415S
134.25,0.5,3.6454731123862123,0.02075043791325579,VHL_WT SMARCA2_L1415S
134.25,5.0,2.658685506785802,0.33590189284062133,VHL_WT SMARCA2_L1415S
154.96666666666667,0.0,1.0311868214256927,0.44204514853404453,VHL_WT SMARCA2_L1415S
154.96666666666667,0.00016,0.7302723007081218,0.0696881357500489,VHL_WT SMARCA2_L1415S
154.96666666666667,0.0008,0.861461245824402,0.5845127321075839,VHL_WT SMARCA2_L1415S
154.96666666666667,0.004,1.1142980792876829,0.2551933879353947,VHL_WT SMARCA2_L1415S
154.96666666666667,0.02,2.010966780321678,0.5570191660767638,VHL_WT SMARCA2_L1415S
154.96666666666667,0.1,3.135486222200476,0.034000595344851746,VHL_WT SMARCA2_L1415S
154.96666666666667,0.5,2.9819962128356634,0.1600583795357925,VHL_WT SMARCA2_L1415S
154.96666666666667,5.0,2.4760263496120913,0.3634150586280548,VHL_WT SMARCA2_L1415S
0.0,0.0,1.8745830320479309,0.8145328360785051,VHL_WT SMARCA2_E1420S
0.0,0.00016,0.44766929242423803,0.15476498747753176,VHL_WT SMARCA2_E1420S
0.0,0.0008,1.0614223679711703,0.7195352446136273,VHL_WT SMARCA2_E1420S
0.0,0.004,1.3075850136078895,0.5588551053300309,VHL_WT SMARCA2_E1420S
0.0,0.02,1.797181885862262,1.1372683669648518,VHL_WT SMARCA2_E1420S
0.0,0.1,2.768632199053739,0.5981889068239333,VHL_WT SMARCA2_E1420S
0.0,0.5,3.0116004889230163,0.2229632734776544,VHL_WT SMARCA2_E1420S
0.0,5.0,3.444114376810541,0.8676459889168743,VHL_WT SMARCA2_E1420S
33.766666666666666,0.0,1.276411020609344,0.27683191086268477,VHL_WT SMARCA2_E1420S
33.766666666666666,0.00016,1.5362276381404385,0.17686514733563702,VHL_WT SMARCA2_E1420S
33.766666666666666,0.0008,1.2547154504509024,0.2893702713304526,VHL_WT SMARCA2_E1420S
